customerID,Dependents,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,gender,InternetService,Contract,PaymentMethod,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn
4183-MYFRB,No,No,No,Yes,Yes,No,No,Yes,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,21,90.05,1862.9,No
8779-QRDMV,No,No,No,No,Yes,No,No,Yes,Yes,Male,DSL,Month-to-month,Electronic check,1,1,39.65,39.65,Yes
1680-VDCWW,No,No,No,No,No,No,No,No,No,Male,No,One year,Bank transfer (automatic),0,12,19.8,202.25,No
1066-JKSGK,No,No,No,No,No,No,No,No,No,Male,No,Month-to-month,Mailed check,0,1,20.15,20.15,Yes
3638-WEABW,No,Yes,No,Yes,No,Yes,No,No,Yes,Female,DSL,Two year,Credit card (automatic),0,58,59.9,3505.1,No
6322-HRPFA,Yes,No,Yes,Yes,No,Yes,No,No,No,Male,DSL,Month-to-month,Credit card (automatic),0,49,59.6,2970.3,No
6865-JZNKO,No,No,Yes,Yes,No,No,No,No,Yes,Female,DSL,Month-to-month,Bank transfer (automatic),0,30,55.3,1530.6,No
6467-CHFZW,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Male,Fiber optic,Month-to-month,Electronic check,0,47,99.35,4749.15,Yes
8665-UTDHZ,Yes,No,No,Yes,No,No,No,No,No,Male,DSL,Month-to-month,Electronic check,0,1,30.2,30.2,Yes
5248-YGIJN,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Male,DSL,Two year,Credit card (automatic),0,72,90.25,6369.45,No
8773-HHUOZ,Yes,No,No,No,No,No,Yes,Yes,Yes,Female,DSL,Month-to-month,Mailed check,0,17,64.7,1093.1,Yes
3841-NFECX,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Female,Fiber optic,Two year,Credit card (automatic),1,71,96.35,6766.95,No
4929-XIHVW,No,No,No,No,Yes,No,Yes,Yes,Yes,Male,Fiber optic,Month-to-month,Credit card (automatic),1,2,95.5,181.65,No
6827-IEAUQ,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Female,DSL,One year,Mailed check,0,27,66.15,1874.45,No
7310-EGVHZ,No,No,No,No,No,No,No,No,No,Male,No,Month-to-month,Bank transfer (automatic),0,1,20.2,20.2,No
3413-BMNZE,No,No,No,No,No,No,No,No,No,Male,DSL,Month-to-month,Bank transfer (automatic),1,1,45.25,45.25,No
6234-RAAPL,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Female,Fiber optic,Two year,Bank transfer (automatic),0,72,99.9,7251.7,No
6047-YHPVI,No,No,No,No,No,No,No,No,Yes,Male,Fiber optic,Month-to-month,Electronic check,0,5,69.7,316.9,Yes
6572-ADKRS,No,No,No,No,Yes,No,No,No,Yes,Female,Fiber optic,Month-to-month,Credit card (automatic),0,46,74.8,3548.3,No
5380-WJKOV,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Male,Fiber optic,Month-to-month,Electronic check,0,34,106.35,3549.25,Yes
8168-UQWWF,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Female,Fiber optic,Month-to-month,Bank transfer (automatic),0,11,97.85,1105.4,Yes
8865-TNMNX,Yes,No,No,Yes,No,No,No,No,No,Male,DSL,One year,Mailed check,0,10,49.55,475.7,No
9489-DEDVP,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Female,DSL,Two year,Credit card (automatic),0,70,69.2,4872.35,No
9867-JCZSP,Yes,No,No,No,No,No,No,No,No,Female,No,One year,Mailed check,0,17,20.75,418.25,No
4671-VJLCL,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Female,DSL,Two year,Credit card (automatic),0,63,79.85,4861.45,No
4080-IIARD,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Female,DSL,Month-to-month,Electronic check,0,13,76.2,981.45,No
3714-NTNFO,No,Yes,No,No,No,No,No,Yes,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,49,84.5,3906.7,No
5948-UJZLF,No,No,No,Yes,No,No,No,No,No,Male,DSL,Month-to-month,Mailed check,0,2,49.25,97.0,No
7760-OYPDY,No,No,No,No,No,No,Yes,No,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,2,80.65,144.15,Yes
7639-LIAYI,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Male,DSL,Two year,Credit card (automatic),0,52,79.75,4217.8,No
2954-PIBKO,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Female,DSL,Two year,Credit card (automatic),0,69,64.15,4254.1,No
8012-SOUDQ,No,Yes,No,Yes,No,No,Yes,No,Yes,Female,Fiber optic,Month-to-month,Electronic check,1,43,90.25,3838.75,No
9420-LOJKX,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Female,Fiber optic,Month-to-month,Credit card (automatic),0,15,99.1,1426.4,Yes
6575-SUVOI,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Female,DSL,Month-to-month,Credit card (automatic),1,25,69.5,1752.65,No
7495-OOKFY,No,Yes,No,Yes,No,No,No,No,Yes,Female,Fiber optic,Month-to-month,Credit card (automatic),1,8,80.65,633.3,Yes
4667-QONEA,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Female,DSL,One year,Credit card (automatic),1,60,74.85,4456.35,No
1658-BYGOY,No,Yes,No,No,No,No,Yes,Yes,Yes,Male,Fiber optic,Month-to-month,Electronic check,1,18,95.45,1752.55,Yes
8769-KKTPH,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Female,Fiber optic,One year,Credit card (automatic),0,63,99.65,6311.2,No
5067-XJQFU,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Male,Fiber optic,One year,Electronic check,1,66,108.45,7076.35,No
3957-SQXML,Yes,Yes,No,No,No,No,No,No,No,Female,No,Two year,Credit card (automatic),0,34,24.95,894.3,No
5954-BDFSG,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Female,Fiber optic,Two year,Credit card (automatic),0,72,107.5,7853.7,No
0434-CSFON,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,47,100.5,4707.1,No
1215-FIGMP,No,Yes,No,Yes,No,No,Yes,No,Yes,Male,Fiber optic,Month-to-month,Bank transfer (automatic),0,60,89.9,5450.7,No
0526-SXDJP,No,No,Yes,Yes,Yes,No,No,No,No,Male,DSL,Two year,Bank transfer (automatic),0,72,42.1,2962.0,No
0557-ASKVU,Yes,No,No,No,Yes,Yes,No,No,Yes,Female,DSL,One year,Credit card (automatic),0,18,54.4,957.1,No
5698-BQJOH,No,Yes,No,No,No,No,Yes,Yes,No,Female,Fiber optic,Month-to-month,Electronic check,0,9,94.4,857.25,Yes
5122-CYFXA,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Female,DSL,Month-to-month,Electronic check,0,3,75.3,244.1,No
8627-ZYGSZ,No,Yes,No,Yes,No,No,No,No,Yes,Male,Fiber optic,One year,Electronic check,0,47,78.9,3650.35,No
3410-YOQBQ,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Female,DSL,Two year,Mailed check,0,31,79.2,2497.2,No
3170-NMYVV,Yes,No,No,No,No,No,No,No,No,Female,No,Two year,Bank transfer (automatic),0,50,20.15,930.9,No
7410-OIEDU,No,No,Yes,No,Yes,No,No,No,Yes,Male,Fiber optic,Month-to-month,Mailed check,0,10,79.85,887.35,No
2273-QCKXA,No,No,No,No,No,Yes,No,No,No,Male,DSL,Month-to-month,Mailed check,0,1,49.05,49.05,No
0731-EBJQB,Yes,No,No,No,No,No,No,No,Yes,Female,No,One year,Electronic check,0,52,20.4,1090.65,No
1891-QRQSA,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Male,Fiber optic,Two year,Bank transfer (automatic),1,64,111.6,7099.0,No
8028-PNXHQ,Yes,Yes,No,No,No,No,No,No,Yes,Male,No,Two year,Bank transfer (automatic),0,62,24.25,1424.6,No
5630-AHZIL,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Female,DSL,Month-to-month,Bank transfer (automatic),0,3,64.5,177.4,No
2673-CXQEU,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Female,Fiber optic,One year,Electronic check,1,56,110.5,6139.5,No
6416-JNVRK,No,No,No,No,No,No,No,Yes,No,Female,DSL,One year,Credit card (automatic),0,46,55.65,2688.85,No
5590-ZSKRV,Yes,No,Yes,Yes,No,No,No,No,No,Female,DSL,Month-to-month,Mailed check,0,8,54.65,482.25,No
0191-ZHSKZ,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Male,DSL,Month-to-month,Electronic check,1,30,74.75,2111.3,No
3887-PBQAO,Yes,Yes,No,No,No,No,No,No,Yes,Female,No,One year,Credit card (automatic),0,45,25.9,1216.6,No
5919-TMRGD,Yes,No,No,No,No,No,Yes,No,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,1,79.35,79.35,Yes
8108-UXRQN,Yes,No,Yes,No,No,No,Yes,Yes,No,Female,DSL,Month-to-month,Electronic check,0,11,50.55,565.35,No
9191-MYQKX,No,No,No,No,Yes,No,No,No,Yes,Female,Fiber optic,Month-to-month,Bank transfer (automatic),0,7,75.15,496.9,Yes
9919-YLNNG,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Female,Fiber optic,Month-to-month,Bank transfer (automatic),0,42,103.8,4327.5,No
0318-ZOPWS,No,No,No,No,No,No,No,No,Yes,Female,No,Two year,Bank transfer (automatic),0,49,20.15,973.35,No
4445-ZJNMU,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Male,Fiber optic,Month-to-month,Credit card (automatic),0,9,99.3,918.75,No
4808-YNLEU,No,No,Yes,No,No,No,Yes,No,Yes,Female,DSL,One year,Bank transfer (automatic),0,35,62.15,2215.45,No
1862-QRWPE,Yes,No,No,No,No,No,No,No,No,Female,No,Two year,Bank transfer (automatic),0,48,20.65,1057.0,No
2796-NNUFI,Yes,No,No,No,No,No,No,No,Yes,Female,No,Two year,Mailed check,0,46,19.95,927.1,No
3016-KSVCP,No,No,No,No,No,No,Yes,No,No,Male,DSL,Month-to-month,Mailed check,0,29,33.75,1009.25,No
4767-HZZHQ,Yes,No,No,Yes,Yes,No,No,No,No,Male,Fiber optic,Month-to-month,Bank transfer (automatic),0,30,82.05,2570.2,No
2424-WVHPL,No,No,No,No,No,Yes,No,No,No,Male,Fiber optic,Month-to-month,Electronic check,1,1,74.7,74.7,No
7233-PAHHL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Male,DSL,Two year,Mailed check,0,66,84.0,5714.25,No
6067-NGCEU,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Female,Fiber optic,Month-to-month,Credit card (automatic),0,65,111.05,7107.0,No
9848-JQJTX,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Male,Fiber optic,Two year,Bank transfer (automatic),0,72,100.9,7459.05,No
8637-XJIVR,No,Yes,Yes,No,No,No,No,No,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,12,78.95,927.35,Yes
9803-FTJCG,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Male,DSL,One year,Credit card (automatic),0,71,66.85,4748.7,No
0278-YXOOG,No,No,No,No,No,No,No,No,No,Male,No,Month-to-month,Mailed check,0,5,21.05,113.85,Yes
3212-KXOCR,No,No,No,No,No,No,No,No,No,Male,No,Two year,Bank transfer (automatic),0,52,21.0,1107.2,No
4598-XLKNJ,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Female,Fiber optic,Month-to-month,Electronic check,1,25,98.5,2514.5,Yes
6380-ARCEH,No,No,No,No,No,No,No,No,No,Male,No,Month-to-month,Mailed check,0,1,20.2,20.2,No
3679-XASPY,Yes,No,No,No,No,No,No,No,No,Female,No,Month-to-month,Electronic check,0,1,19.45,19.45,No
7123-WQUHX,No,Yes,No,No,Yes,Yes,Yes,No,No,Male,Fiber optic,One year,Bank transfer (automatic),0,38,95.0,3605.6,No
5386-THSLQ,No,No,No,Yes,Yes,No,Yes,No,No,Female,DSL,One year,Bank transfer (automatic),1,66,45.55,3027.25,No
3192-NQECA,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Male,Fiber optic,Two year,Bank transfer (automatic),0,68,110.0,7611.85,Yes
6180-YBIQI,No,No,No,No,No,No,No,No,No,Male,DSL,Month-to-month,Mailed check,0,5,24.3,100.2,No
6728-DKUCO,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Female,Fiber optic,One year,Electronic check,0,72,104.15,7303.05,No
9750-BOOHV,No,No,Yes,No,No,No,No,No,No,Female,DSL,One year,Mailed check,0,32,30.15,927.65,No
8597-CWYHH,No,Yes,No,No,No,No,Yes,Yes,No,Male,Fiber optic,One year,Mailed check,0,43,94.35,3921.3,No
2848-YXSMW,Yes,No,No,No,No,No,No,No,No,Male,No,Two year,Credit card (automatic),0,72,19.4,1363.25,No
0486-HECZI,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Male,Fiber optic,Month-to-month,Electronic check,0,55,96.75,5238.9,Yes
4549-ZDQYY,No,No,Yes,No,Yes,Yes,No,No,No,Female,DSL,One year,Credit card (automatic),0,52,57.95,3042.25,No
5712-AHQNN,No,No,No,Yes,Yes,No,Yes,No,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,43,91.65,3954.1,No
4846-WHAFZ,No,Yes,No,No,No,No,No,No,Yes,Female,Fiber optic,Month-to-month,Electronic check,1,37,76.5,2868.15,Yes
5256-SKJGO,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Female,DSL,Two year,Electronic check,0,64,54.6,3423.5,No
3071-VBYPO,Yes,No,Yes,Yes,No,No,Yes,No,No,Male,Fiber optic,Month-to-month,Electronic check,0,3,89.85,248.4,No
9560-BBZXK,No,No,Yes,No,No,No,No,No,No,Female,DSL,Two year,Bank transfer (automatic),0,36,31.05,1126.35,No
5299-RULOA,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,10,100.25,1064.65,Yes
8402-OOOHJ,No,No,No,No,No,No,No,No,No,Female,No,Two year,Mailed check,0,41,20.65,835.15,No
9445-ZUEQE,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Male,Fiber optic,Month-to-month,Credit card (automatic),0,27,85.2,2151.6,No
1091-SOZGA,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Female,Fiber optic,One year,Credit card (automatic),0,56,99.8,5515.45,No
2928-HLDBA,No,No,No,No,No,No,No,No,No,Female,No,Month-to-month,Mailed check,0,6,20.7,112.75,No
0404-SWRVG,No,Yes,No,No,No,No,No,No,Yes,Male,Fiber optic,Month-to-month,Electronic check,0,3,74.4,229.55,Yes
6497-TILVL,Yes,No,Yes,No,No,No,No,No,No,Female,DSL,Month-to-month,Mailed check,0,7,50.7,350.35,No
7219-TLZHO,Yes,No,No,No,No,No,No,No,No,Female,No,Month-to-month,Mailed check,0,4,20.85,62.9,No
4622-YNKIJ,No,No,Yes,No,No,Yes,Yes,No,Yes,Male,Fiber optic,Two year,Electronic check,0,33,88.95,3027.65,No
4412-YLTKF,No,Yes,No,No,Yes,No,No,No,Yes,Female,Fiber optic,Month-to-month,Electronic check,1,27,78.05,2135.5,Yes
6734-PSBAW,No,Yes,No,No,No,No,No,No,Yes,Male,No,Two year,Bank transfer (automatic),0,72,23.55,1723.95,No
3930-ZGWVE,No,No,No,No,No,No,No,No,No,Male,No,Month-to-month,Mailed check,0,1,19.75,19.75,No
2639-UGMAZ,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Male,DSL,One year,Electronic check,1,71,56.45,3985.35,No
2876-GZYZC,No,Yes,No,No,No,No,No,Yes,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,13,85.95,1215.65,No
6207-WIOLX,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Female,DSL,Month-to-month,Credit card (automatic),0,25,58.6,1502.65,Yes
8587-XYZSF,No,No,No,No,No,Yes,No,No,No,Male,DSL,Two year,Bank transfer (automatic),0,67,50.55,3260.1,No
3091-FYHKI,No,No,No,No,No,No,No,Yes,Yes,Male,DSL,Month-to-month,Electronic check,0,1,35.45,35.45,Yes
2372-HWUHI,No,No,No,No,No,No,No,No,No,Male,DSL,Month-to-month,Electronic check,0,2,44.35,81.25,Yes
7799-LGRDP,No,Yes,No,No,No,No,No,No,Yes,Female,No,Two year,Credit card (automatic),0,43,25.7,1188.2,No
7850-VWJUU,No,No,Yes,No,No,No,No,No,Yes,Female,Fiber optic,Month-to-month,Bank transfer (automatic),0,23,75.0,1778.5,No
3774-VBNXY,Yes,No,No,No,No,No,No,No,No,Female,No,Two year,Mailed check,0,64,20.2,1277.75,No
6217-KDYWC,Yes,No,No,No,No,No,No,No,Yes,Male,No,Two year,Mailed check,0,57,19.6,1170.55,No
0390-DCFDQ,No,No,No,No,No,No,No,No,Yes,Female,Fiber optic,Month-to-month,Mailed check,1,1,70.45,70.45,Yes
3146-MSEGF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Female,DSL,Two year,Credit card (automatic),1,72,88.05,6425.65,No
4080-OGPJL,No,Yes,Yes,No,No,Yes,No,Yes,No,Female,DSL,Month-to-month,Electronic check,0,8,71.15,563.65,Yes
1095-WGNGG,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Female,Fiber optic,Two year,Bank transfer (automatic),0,61,101.05,5971.25,No
2636-SJDOU,No,Yes,Yes,Yes,No,No,No,No,Yes,Male,Fiber optic,One year,Credit card (automatic),0,64,84.3,5289.05,No
1131-QQZEB,No,Yes,No,No,No,No,No,No,No,Male,No,Two year,Bank transfer (automatic),1,71,23.95,1756.2,No
5716-EZXZN,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Female,Fiber optic,Two year,Credit card (automatic),0,65,99.05,6416.7,No
6837-BJYDQ,No,No,No,No,No,No,No,No,No,Male,No,One year,Mailed check,0,3,19.6,61.35,No
2135-RXIHG,No,No,No,No,No,No,No,No,Yes,Male,DSL,Month-to-month,Electronic check,0,1,45.65,45.65,Yes
6440-DKQGE,Yes,No,No,Yes,Yes,No,Yes,No,No,Male,DSL,One year,Credit card (automatic),0,30,64.5,1929.95,No
3466-BYAVD,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Male,DSL,Month-to-month,Mailed check,0,15,69.5,1071.4,No
3780-YVMFA,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Female,DSL,Month-to-month,Electronic check,0,8,68.55,564.35,No
3874-EQOEP,No,Yes,No,No,No,No,Yes,Yes,No,Male,Fiber optic,Month-to-month,Mailed check,0,7,95.0,655.5,Yes
1679-JRFBR,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Female,Fiber optic,One year,Credit card (automatic),0,70,108.15,7930.55,No
9073-ZZIAY,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Male,DSL,Two year,Electronic check,0,62,86.1,5215.25,No
3077-RSNTJ,Yes,No,No,No,No,No,No,No,No,Female,No,Month-to-month,Mailed check,0,6,19.7,113.5,No
6551-GNYDG,Yes,No,No,No,No,No,No,Yes,Yes,Female,Fiber optic,Month-to-month,Bank transfer (automatic),0,14,80.9,1152.8,No
9167-APMXZ,No,Yes,No,No,No,No,Yes,No,Yes,Female,Fiber optic,Month-to-month,Bank transfer (automatic),0,22,84.15,1821.95,No
2749-CTKAJ,Yes,No,No,No,No,No,No,No,No,Male,No,One year,Mailed check,0,22,20.15,419.9,No
6371-NZYEG,Yes,No,Yes,No,Yes,No,Yes,No,No,Male,DSL,Two year,Mailed check,0,16,64.25,1024.0,No
7554-NEWDD,No,Yes,No,No,No,No,No,No,No,Male,No,Two year,Bank transfer (automatic),0,10,25.7,251.6,No
8992-VONJD,Yes,No,Yes,Yes,No,No,No,No,Yes,Female,DSL,Month-to-month,Electronic check,0,13,56.0,764.55,No
0867-MKZVY,No,Yes,Yes,No,No,No,No,No,No,Female,Fiber optic,Month-to-month,Electronic check,0,20,82.4,1592.35,Yes
4482-EWFMI,No,No,No,No,No,No,No,No,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,2,69.7,135.2,No
4648-YPBTM,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Male,DSL,Two year,Bank transfer (automatic),0,53,73.9,3958.25,No
2907-ILJBN,Yes,No,No,No,No,No,No,No,No,Female,No,One year,Mailed check,0,11,20.6,233.9,No
6345-FZOQH,No,No,No,No,No,No,No,No,No,Male,No,Two year,Mailed check,0,69,19.9,1363.45,No
3376-BMGFE,No,No,No,No,No,No,No,No,Yes,Female,Fiber optic,Month-to-month,Bank transfer (automatic),0,4,70.9,273.0,Yes
5997-OPVFA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Male,DSL,Two year,Bank transfer (automatic),0,72,89.05,6254.45,No
3445-HXXGF,No,No,No,Yes,Yes,No,No,Yes,Yes,Male,DSL,Month-to-month,Electronic check,1,58,45.3,2651.2,Yes
1159-WFSGR,Yes,No,No,No,No,No,No,No,No,Female,No,Month-to-month,Electronic check,0,16,20.4,321.4,No
7654-YWJUF,No,No,Yes,No,Yes,Yes,No,No,Yes,Male,Fiber optic,One year,Bank transfer (automatic),0,43,84.25,3539.25,No
1875-QIVME,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,2,104.4,242.8,Yes
6727-IOTLZ,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Male,DSL,Two year,Mailed check,0,14,81.95,1181.75,No
0691-JVSYA,No,No,No,No,Yes,No,Yes,Yes,Yes,Female,Fiber optic,One year,Bank transfer (automatic),0,53,94.85,5000.2,Yes
5918-VUKWP,No,No,No,No,No,No,No,No,No,Female,No,One year,Bank transfer (automatic),0,32,20.55,654.55,No
1744-JHKYS,No,Yes,No,No,No,No,No,No,No,Female,No,Month-to-month,Electronic check,0,34,24.7,780.2,No
2656-FMOKZ,No,Yes,No,No,No,No,No,No,Yes,Female,Fiber optic,Month-to-month,Mailed check,1,15,74.45,1145.7,Yes
2070-FNEXE,No,No,Yes,No,No,No,No,No,No,Female,Fiber optic,Month-to-month,Bank transfer (automatic),1,7,76.45,503.6,Yes
5947-SGKCL,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Female,Fiber optic,Month-to-month,Bank transfer (automatic),0,15,105.35,1559.25,No
3712-PKXZA,No,No,No,No,No,No,No,No,Yes,Male,No,One year,Credit card (automatic),0,61,20.55,1252.0,No
6317-YPKDH,No,No,No,Yes,No,No,No,No,No,Female,DSL,Month-to-month,Bank transfer (automatic),0,1,29.95,29.95,Yes
6582-OIVSP,No,No,No,No,No,No,No,No,No,Female,DSL,Month-to-month,Mailed check,0,1,45.3,45.3,No
9367-WXLCH,No,Yes,No,No,No,No,No,Yes,No,Male,Fiber optic,Month-to-month,Bank transfer (automatic),0,8,84.5,662.65,Yes
5524-KHNJP,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Male,DSL,One year,Credit card (automatic),0,33,74.75,2453.3,No
1918-ZBFQJ,No,No,No,Yes,Yes,No,No,No,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,13,79.25,1111.65,Yes
1024-GUALD,No,No,No,No,No,No,No,No,Yes,Female,DSL,Month-to-month,Electronic check,0,1,24.8,24.8,Yes
4827-USJHP,No,No,No,Yes,No,No,No,No,Yes,Male,DSL,Month-to-month,Mailed check,0,20,51.8,1023.85,No
8167-GJLRN,No,No,No,No,No,Yes,No,No,No,Male,DSL,Month-to-month,Electronic check,0,3,30.4,82.15,No
0956-SYCWG,No,No,No,No,No,No,No,No,No,Female,No,One year,Electronic check,0,13,19.65,244.8,No
8017-UVSZU,No,Yes,No,Yes,No,No,No,No,No,Female,DSL,Month-to-month,Credit card (automatic),0,40,56.6,2379.1,No
7100-FQPRV,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Male,DSL,One year,Credit card (automatic),0,43,71.9,3173.35,No
2472-OVKUP,No,No,No,Yes,Yes,No,No,Yes,Yes,Male,Fiber optic,Month-to-month,Electronic check,0,6,91.0,531.0,Yes
2984-RGEYA,Yes,No,No,No,No,No,No,No,No,Female,No,Two year,Bank transfer (automatic),0,69,19.75,1375.4,No
9680-NIAUV,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Female,Fiber optic,Two year,Credit card (automatic),0,72,109.7,8129.3,No
2146-EGVDT,Yes,No,No,No,No,No,No,No,No,Male,No,Two year,Credit card (automatic),0,59,19.3,1192.7,No
2604-IJPDU,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,20,96.55,1901.65,No
